"seqnames" "start" "end" "width" "strand"
"182" "chr1" 15749897 15756606 6710 "*"
"183" "chr1" 15786595 15807168 20574 "*"
"184" "chr1" 15809349 15834473 25125 "*"
"185" "chr1" 15940461 15941868 1408 "*"
"186" "chr1" 15976133 16004235 28103 "*"
"187" "chr1" 16008808 16014027 5220 "*"
"188" "chr1" 16034051 16043735 9685 "*"
"189" "chr1" 16057309 16057768 460 "*"
"190" "chr1" 16073633 16124336 50704 "*"
"191" "chr1" 16156088 16197853 41766 "*"
"192" "chr1" 16212610 16231699 19090 "*"
"193" "chr1" 16237163 16246838 9676 "*"
"194" "chr1" 16352455 16352574 120 "*"
"195" "chr1" 16437425 16440671 3247 "*"
"196" "chr1" 16460079 16460947 869 "*"
"197" "chr1" 16499258 16533885 34628 "*"
"198" "chr1" 16535650 16562318 26669 "*"
"199" "chr1" 16613563 16618252 4690 "*"
"200" "chr1" 16657233 16687338 30106 "*"
"201" "chr1" 16720158 16740272 20115 "*"
"202" "chr1" 16972980 16974501 1522 "*"
"203" "chr1" 16980836 16985957 5122 "*"
"204" "chr1" 17011929 17018721 6793 "*"
"205" "chr1" 17054171 17066760 12590 "*"
"206" "chr1" 17119436 17189782 70347 "*"
"207" "chr1" 17197618 17205125 7508 "*"
"208" "chr1" 17246006 17249097 3092 "*"
"209" "chr1" 17284234 17308194 23961 "*"
"210" "chr1" 17364005 17372195 8191 "*"
"211" "chr1" 17401700 17406759 5060 "*"
"212" "chr1" 17439725 17539834 100110 "*"
"213" "chr1" 17697875 17755312 57438 "*"
"214" "chr1" 17827064 18065656 238593 "*"
"215" "chr1" 18074413 18107745 33333 "*"
"216" "chr1" 18378484 18480981 102498 "*"
"217" "chr1" 18486127 18631005 144879 "*"
"218" "chr1" 18748867 18839598 90732 "*"
"219" "chr1" 18956687 19074505 117819 "*"
"220" "chr1" 19210277 19210500 224 "*"
"221" "chr1" 19260129 19265981 5853 "*"
"222" "chr1" 19274195 19282557 8363 "*"
"223" "chr1" 19289251 19303964 14714 "*"
"224" "chr1" 19312147 19312325 179 "*"
"225" "chr1" 19329301 19338775 9475 "*"
"226" "chr1" 19658457 19665286 6830 "*"
"227" "chr1" 19679563 19682212 2650 "*"
"228" "chr1" 19799946 19814028 14083 "*"
"229" "chr1" 19815279 19882512 67234 "*"
"230" "chr1" 19912946 19920008 7063 "*"
"231" "chr1" 19923618 19975430 51813 "*"
"232" "chr1" 19980417 20028178 47762 "*"
"233" "chr1" 20091191 20111938 20748 "*"
"234" "chr1" 20119567 20139325 19759 "*"
"235" "chr1" 20150387 20161252 10866 "*"
"236" "chr1" 20177425 20184241 6817 "*"
"237" "chr1" 20196049 20243094 47046 "*"
"238" "chr1" 20244656 20290918 46263 "*"
"239" "chr1" 20354895 20360578 5684 "*"
"240" "chr1" 20431235 20482390 51156 "*"
"241" "chr1" 20486221 20499447 13227 "*"
"242" "chr1" 20508162 20552438 44277 "*"
"243" "chr1" 20555011 20588947 33937 "*"
"244" "chr1" 20618909 20633454 14546 "*"
"245" "chr1" 20661545 20664013 2469 "*"
"246" "chr1" 20718018 20719731 1714 "*"
"247" "chr1" 20732838 20742660 9823 "*"
"248" "chr1" 20787324 20806291 18968 "*"
"249" "chr1" 21176889 21217246 40358 "*"
"250" "chr1" 21345573 21440127 94555 "*"
"251" "chr1" 21485006 21509371 24366 "*"
"252" "chr1" 21578413 21596214 17802 "*"
"253" "chr1" 21669364 21678297 8934 "*"
"254" "chr1" 21783607 21812264 28658 "*"
"255" "chr1" 21937298 21977020 39723 "*"
"256" "chr1" 22101361 22117304 15944 "*"
"257" "chr1" 22143970 22266238 122269 "*"
"258" "chr1" 22266301 22428837 162537 "*"
"259" "chr1" 22531158 22563563 32406 "*"
"260" "chr1" 22603595 22633257 29663 "*"
"261" "chr1" 22633367 22636505 3139 "*"
"262" "chr1" 22639609 22643629 4021 "*"
"263" "chr1" 22648111 22652761 4651 "*"
"264" "chr1" 22661539 22710838 49300 "*"
"265" "chr1" 22921501 22953042 31542 "*"
"266" "chr1" 22965339 23010833 45495 "*"
"267" "chr1" 23015851 23019442 3592 "*"
"268" "chr1" 23083690 23084022 333 "*"
"269" "chr1" 23177809 23191894 14086 "*"
"270" "chr1" 23194730 23281307 86578 "*"
"271" "chr1" 23286546 23303962 17417 "*"
"272" "chr1" 23344337 23359447 15111 "*"
"273" "chr1" 23371840 23381060 9221 "*"
"274" "chr1" 23424741 23428562 3822 "*"
"275" "chr1" 23484569 23506429 21861 "*"
"276" "chr1" 23531221 23557917 26697 "*"
"277" "chr1" 23559795 23581494 21700 "*"
"278" "chr1" 23640569 23691741 51173 "*"
"279" "chr1" 23696836 23743154 46319 "*"
"280" "chr1" 23778288 23778404 117 "*"
"281" "chr1" 23788233 23790969 2737 "*"
"282" "chr1" 23795540 23795598 59 "*"
"283" "chr1" 23800805 23801884 1080 "*"
"284" "chr1" 23838621 23845076 6456 "*"
"285" "chr1" 23868295 23870525 2231 "*"
"286" "chr1" 23913363 23929069 15707 "*"
"287" "chr1" 23929148 23956838 27691 "*"
"288" "chr1" 23963463 23964803 1341 "*"
"289" "chr1" 23980928 24056034 75107 "*"
"290" "chr1" 24112176 24119770 7595 "*"
"291" "chr1" 24143122 24154156 11035 "*"
"292" "chr1" 24187960 24200239 12280 "*"
"293" "chr1" 24211694 24319321 107628 "*"
"294" "chr1" 24472977 24502350 29374 "*"
"295" "chr1" 24556025 24556110 86 "*"
"296" "chr1" 24609329 24633065 23737 "*"
"297" "chr1" 24673268 24745356 72089 "*"
"298" "chr1" 24844325 24899510 55186 "*"
"299" "chr1" 24965122 25023502 58381 "*"
"300" "chr1" 25023587 25222678 199092 "*"
"301" "chr1" 25232503 25242236 9734 "*"
"302" "chr1" 25430193 25430857 665 "*"
"303" "chr1" 25500210 25543579 43370 "*"
"304" "chr1" 25568887 25617467 48581 "*"
"305" "chr1" 25786208 25800175 13968 "*"
"306" "chr1" 25859459 25861209 1751 "*"
"307" "chr1" 25871254 25884180 12927 "*"
"308" "chr1" 25906992 25959766 52775 "*"
"309" "chr1" 25998158 26019883 21726 "*"
"310" "chr1" 26036465 26037251 787 "*"
"311" "chr1" 26046134 26051303 5170 "*"
"312" "chr1" 26068437 26111164 42728 "*"
"313" "chr1" 26125544 26159019 33476 "*"
"314" "chr1" 26163963 26164160 198 "*"
"315" "chr1" 26168582 26169870 1289 "*"
"316" "chr1" 26170874 26177402 6529 "*"
"317" "chr1" 26189887 26190560 674 "*"
"318" "chr1" 26202969 26209740 6772 "*"
"319" "chr1" 26229841 26234199 4359 "*"
"320" "chr1" 26278809 26279175 367 "*"
"321" "chr1" 26320524 26321697 1174 "*"
"322" "chr1" 26360081 26361633 1553 "*"
"323" "chr1" 26374523 26410777 36255 "*"
"324" "chr1" 26429723 26432281 2559 "*"
"325" "chr1" 26471295 26472449 1155 "*"
"326" "chr1" 26475973 26529760 53788 "*"
"327" "chr1" 26575031 26692131 117101 "*"
"328" "chr1" 26782111 26787471 5361 "*"
"329" "chr1" 26798399 26826709 28311 "*"
"330" "chr1" 26857603 26863137 5535 "*"
"331" "chr1" 26864458 26876132 11675 "*"
"332" "chr1" 26890298 26890487 190 "*"
"333" "chr1" 26946863 26949561 2699 "*"
"334" "chr1" 26960407 26993706 33300 "*"
"335" "chr1" 27000899 27005019 4121 "*"
"336" "chr1" 27012837 27098814 85978 "*"
"337" "chr1" 27166982 27234515 67534 "*"
"338" "chr1" 27308634 27322144 13511 "*"
"339" "chr1" 27336401 27342019 5619 "*"
"340" "chr1" 27353938 27355183 1246 "*"
"341" "chr1" 27366893 27369111 2219 "*"
"342" "chr1" 27374825 27379175 4351 "*"
"343" "chr1" 27383381 27392643 9263 "*"
"344" "chr1" 27395815 27404225 8411 "*"
"345" "chr1" 27490159 27534034 43876 "*"
"346" "chr1" 27604432 27612063 7632 "*"
"347" "chr1" 27635278 27660327 25050 "*"
"348" "chr1" 27662723 27666060 3338 "*"
"349" "chr1" 27672219 27725978 53760 "*"
"350" "chr1" 27763123 27773182 10060 "*"
"351" "chr1" 27824453 27830777 6325 "*"
"352" "chr1" 27851677 27872542 20866 "*"
"353" "chr1" 27886686 27891523 4838 "*"
"354" "chr1" 27914747 27934992 20246 "*"
"355" "chr1" 27959158 27959461 304 "*"
"356" "chr1" 27968097 27970343 2247 "*"
"357" "chr1" 28088697 28147165 58469 "*"
"358" "chr1" 28193937 28199455 5519 "*"
"359" "chr1" 28233026 28236108 3083 "*"
"360" "chr1" 28246907 28259526 12620 "*"
"361" "chr1" 28282492 28329001 46510 "*"
"362" "chr1" 28335968 28369581 33614 "*"
"363" "chr1" 28500370 28505942 5573 "*"
"364" "chr1" 28539301 28553084 13784 "*"
"365" "chr1" 28582987 28589322 6336 "*"
"366" "chr1" 28643086 28643227 142 "*"
"367" "chr1" 28648582 28648599 18 "*"
"368" "chr1" 28648734 28668731 19998 "*"
"369" "chr1" 28719354 28736620 17267 "*"
"370" "chr1" 28769776 28812141 42366 "*"
"371" "chr1" 28871268 28887090 15823 "*"
"372" "chr1" 29123936 29147742 23807 "*"
"373" "chr1" 29181988 29192872 10885 "*"
"374" "chr1" 29230943 29236515 5573 "*"
"375" "chr1" 29326814 29329619 2806 "*"
"376" "chr1" 29350115 30013951 663837 "*"
"377" "chr1" 30037613 30711276 673664 "*"
"378" "chr1" 30726828 30732468 5641 "*"
"379" "chr1" 30757821 30824227 66407 "*"
"380" "chr1" 30834432 30869466 35035 "*"
"381" "chr1" 30908762 30931505 22744 "*"
"382" "chr1" 31065992 31179744 113753 "*"
"383" "chr1" 31239555 31259567 20013 "*"
"384" "chr1" 31296783 31296981 199 "*"
"385" "chr1" 31364954 31365624 671 "*"
"386" "chr1" 31376851 31409564 32714 "*"
"387" "chr1" 31434681 31500084 65404 "*"
"388" "chr1" 31587687 31617685 29999 "*"
"389" "chr1" 31644897 31652246 7350 "*"
"390" "chr1" 31704320 31727116 22797 "*"
"391" "chr1" 31764894 31790421 25528 "*"
"392" "chr1" 31816052 31906420 90369 "*"
"393" "chr1" 31944857 32013828 68972 "*"
"394" "chr1" 32060851 32072030 11180 "*"
"395" "chr1" 32102867 32108037 5171 "*"
"396" "chr1" 32176569 32179685 3117 "*"
"397" "chr1" 32198286 32200385 2100 "*"
"398" "chr1" 32205388 32205660 273 "*"
"399" "chr1" 32208688 32209093 406 "*"
"400" "chr1" 32231605 32231657 53 "*"
"401" "chr1" 32241621 32247232 5612 "*"
"402" "chr1" 32248857 32251238 2382 "*"
"403" "chr1" 32286166 32292085 5920 "*"
"404" "chr1" 32333636 32333831 196 "*"
"405" "chr1" 32336380 32353453 17074 "*"
"406" "chr1" 32364313 32365102 790 "*"
"407" "chr1" 32394732 32465056 70325 "*"
"408" "chr1" 32650904 32651141 238 "*"
"409" "chr1" 32703597 32741884 38288 "*"
"410" "chr1" 32774971 32775236 266 "*"
"411" "chr1" 32858880 32862267 3388 "*"
"412" "chr1" 32872483 32885993 13511 "*"
"413" "chr1" 32901439 32936444 35006 "*"
"414" "chr1" 32964686 33007939 43254 "*"
"415" "chr1" 33080997 33081103 107 "*"
"416" "chr1" 33120531 33145401 24871 "*"
"417" "chr1" 33182054 33256544 74491 "*"
"418" "chr1" 33300720 33306765 6046 "*"
"419" "chr1" 33321099 33323622 2524 "*"
"420" "chr1" 33431053 33472644 41592 "*"
"421" "chr1" 33496508 33513998 17491 "*"
"422" "chr1" 34165843 34166882 1040 "*"
"423" "chr1" 34219132 34669598 450467 "*"
"424" "chr1" 34669695 34712736 43042 "*"
"425" "chr1" 34859817 34865435 5619 "*"
"426" "chr1" 34929586 34974355 44770 "*"
"427" "chr1" 35031969 35032171 203 "*"
"428" "chr1" 35115860 35176377 60518 "*"
"429" "chr1" 35193149 35268966 75818 "*"
"430" "chr1" 35422059 35433489 11431 "*"
"431" "chr1" 35567275 35573369 6095 "*"
"432" "chr1" 35595329 35599543 4215 "*"
"433" "chr1" 35641845 35713874 72030 "*"
"434" "chr1" 35719473 35720217 745 "*"
"435" "chr1" 35769968 35808171 38204 "*"
"436" "chr1" 35857891 35869807 11917 "*"
"437" "chr1" 35930529 35930717 189 "*"
"438" "chr1" 36072501 36084074 11574 "*"
"439" "chr1" 36088276 36088874 599 "*"
"440" "chr1" 36093933 36095235 1303 "*"
"441" "chr1" 36125221 36136569 11349 "*"
"442" "chr1" 36180850 36224415 43566 "*"
"443" "chr1" 36305358 36306386 1029 "*"
"444" "chr1" 36324887 36339623 14737 "*"
"445" "chr1" 36385897 36391237 5341 "*"
"446" "chr1" 36397893 36415826 17934 "*"
"447" "chr1" 36450452 36455717 5266 "*"
"448" "chr1" 36464438 36466042 1605 "*"
"449" "chr1" 36483279 36795526 312248 "*"
"450" "chr1" 37034130 37161562 127433 "*"
"451" "chr1" 37161635 37454878 293244 "*"
"452" "chr1" 37474412 37474551 140 "*"
"453" "chr1" 37484380 37492574 8195 "*"
"454" "chr1" 37514775 37534448 19674 "*"
"455" "chr1" 37554345 37556918 2574 "*"
"456" "chr1" 37595936 37611349 15414 "*"
"457" "chr1" 37634924 37681569 46646 "*"
"458" "chr1" 37692250 37692417 168 "*"
"459" "chr1" 37709720 37713879 4160 "*"
"460" "chr1" 37765134 37793801 28668 "*"
"461" "chr1" 37801138 37802943 1806 "*"
"462" "chr1" 37809455 37809566 112 "*"
"463" "chr1" 37859621 37860696 1076 "*"
"464" "chr1" 37947058 37956974 9917 "*"
"465" "chr1" 37990922 37996769 5848 "*"
"466" "chr1" 38005607 38009257 3651 "*"
"467" "chr1" 38024825 38044610 19786 "*"
"468" "chr1" 38046795 38089230 42436 "*"
"469" "chr1" 38089330 38209033 119704 "*"
"470" "chr1" 38214807 38474874 260068 "*"
"471" "chr1" 38496035 38838197 342163 "*"
"472" "chr1" 38941800 38991222 49423 "*"
"473" "chr1" 39006060 39026317 20258 "*"
"474" "chr1" 39034637 39081315 46679 "*"
"475" "chr1" 39487178 39491645 4468 "*"
"476" "chr1" 39559672 39560815 1144 "*"
"477" "chr1" 39576791 39624152 47362 "*"
"478" "chr1" 39639946 39659120 19175 "*"
"479" "chr1" 39672039 39678647 6609 "*"
"480" "chr1" 39691690 39692181 492 "*"
"481" "chr1" 39788862 39788975 114 "*"
"482" "chr1" 39790172 39838109 47938 "*"
"483" "chr1" 39883512 39895425 11914 "*"
"484" "chr1" 39902257 39955111 52855 "*"
"485" "chr1" 39969969 40040232 70264 "*"
"486" "chr1" 40097728 40161372 63645 "*"
"487" "chr1" 40240922 40245946 5025 "*"
"488" "chr1" 40251692 40258106 6415 "*"
"489" "chr1" 40294185 40300486 6302 "*"
"490" "chr1" 40317814 40344849 27036 "*"
"491" "chr1" 40423327 40450101 26775 "*"
"492" "chr1" 40463719 40477214 13496 "*"
"493" "chr1" 40496344 40508740 12397 "*"
"494" "chr1" 40516557 40531560 15004 "*"
"495" "chr1" 40548170 40620678 72509 "*"
"496" "chr1" 40665658 40690379 24722 "*"
"497" "chr1" 40771604 40783813 12210 "*"
"498" "chr1" 40840453 40861050 20598 "*"
"499" "chr1" 40862367 40979334 116968 "*"
"500" "chr1" 41012566 41014589 2024 "*"
"501" "chr1" 41242155 41361921 119767 "*"
"502" "chr1" 41383591 41478774 95184 "*"
"503" "chr1" 41484674 41506364 21691 "*"
"504" "chr1" 42035926 42153420 117495 "*"
"505" "chr1" 42155825 42162690 6866 "*"
"506" "chr1" 42164719 42176538 11820 "*"
"507" "chr1" 42335878 42380794 44917 "*"
"508" "chr1" 42422579 42430328 7750 "*"
"509" "chr1" 42654665 42658424 3760 "*"
"510" "chr1" 42676759 42682426 5668 "*"
"511" "chr1" 42702350 42733092 30743 "*"
"512" "chr1" 42740255 42746334 6080 "*"
"513" "chr1" 42767085 42767268 184 "*"
"514" "chr1" 42844994 42846572 1579 "*"
"515" "chr1" 42852478 42925374 72897 "*"
"516" "chr1" 42983359 43145152 161794 "*"
"517" "chr1" 43156397 43164174 7778 "*"
"518" "chr1" 43274003 43281882 7880 "*"
"519" "chr1" 43285618 43300992 15375 "*"
"520" "chr1" 43323109 43337848 14740 "*"
"521" "chr1" 43352773 43358954 6182 "*"
"522" "chr1" 43363204 43363396 193 "*"
"523" "chr1" 43368075 43383916 15842 "*"
"524" "chr1" 43389809 43389881 73 "*"
"525" "chr1" 43454248 43525186 70939 "*"
"526" "chr1" 43623667 43650148 26482 "*"
"527" "chr1" 43931166 43933319 2154 "*"
"528" "chr1" 43937242 43946938 9697 "*"
"529" "chr1" 43968023 43969999 1977 "*"
"530" "chr1" 43973370 43974486 1117 "*"
"531" "chr1" 43978296 43978942 647 "*"
"532" "chr1" 43991171 43991358 188 "*"
"533" "chr1" 44031468 44118849 87382 "*"
"534" "chr1" 44135141 44137820 2680 "*"
"535" "chr1" 44141632 44213454 71823 "*"
"536" "chr1" 44220682 44221069 388 "*"
"537" "chr1" 44355261 44405193 49933 "*"
"538" "chr1" 44674556 44674691 136 "*"
"539" "chr1" 44725592 44731054 5463 "*"
"540" "chr1" 44731171 44739817 8647 "*"
"541" "chr1" 44767768 44775250 7483 "*"
"542" "chr1" 44778780 44783584 4805 "*"
"543" "chr1" 44787706 44800224 12519 "*"
"544" "chr1" 44805991 44808481 2491 "*"
"545" "chr1" 44815586 44819843 4258 "*"
"546" "chr1" 44843064 44850521 7458 "*"
"547" "chr1" 44986723 45002539 15817 "*"
"548" "chr1" 45011330 45012146 817 "*"
"549" "chr1" 45015576 45016398 823 "*"
"550" "chr1" 45306210 45326904 20695 "*"
"551" "chr1" 45328534 45329162 629 "*"
"552" "chr1" 45491167 45493865 2699 "*"
"553" "chr1" 45523048 45550542 27495 "*"
"554" "chr1" 45570050 45583845 13796 "*"
"555" "chr1" 45618905 45620043 1139 "*"
"556" "chr1" 45624058 45627303 3246 "*"
"557" "chr1" 45750651 45786986 36336 "*"
"558" "chr1" 46036125 46040139 4015 "*"
"559" "chr1" 46185959 46188681 2723 "*"
"560" "chr1" 46221262 46247687 26426 "*"
"561" "chr1" 46303609 46303630 22 "*"
"562" "chr1" 46316777 46340176 23400 "*"
"563" "chr1" 46365153 46394264 29112 "*"
"564" "chr1" 46413849 46432128 18280 "*"
"565" "chr1" 46482494 46506995 24502 "*"
"566" "chr1" 46514227 46532165 17939 "*"
"567" "chr1" 46616892 46632736 15845 "*"
"568" "chr1" 46673868 46674035 168 "*"
"569" "chr1" 46719065 46757837 38773 "*"
"570" "chr1" 46819414 46843094 23681 "*"
"571" "chr1" 46900438 46929176 28739 "*"
"572" "chr1" 46941485 47023567 82083 "*"
"573" "chr1" 47050752 47067487 16736 "*"
"574" "chr1" 47118320 47137434 19115 "*"
"575" "chr1" 47149742 47179249 29508 "*"
"576" "chr1" 47180340 47183592 3253 "*"
"577" "chr1" 47191045 47216289 25245 "*"
"578" "chr1" 47232221 47250138 17918 "*"
"579" "chr1" 47314148 47333796 19649 "*"
"580" "chr1" 47378840 47380927 2088 "*"
"581" "chr1" 47408478 47416071 7594 "*"
"582" "chr1" 47418053 47432132 14080 "*"
"583" "chr1" 47434642 47436016 1375 "*"
"584" "chr1" 47440692 47760527 319836 "*"
"585" "chr1" 47996896 48096091 99196 "*"
"586" "chr1" 48182429 48222684 40256 "*"
